Manufacturer,xEV Model Name,Variant Name,Vehicle Type & Segment,Vehicle CMVR Category,Incentive Amount (In INR),Status,Links
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XE,TATA TIGOR EV - XE,Four Wheeler ( e-4W ),M1,162000,EXPIRED,"{""Range (Km)"": ""140"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""13.3"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""16.2"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XM,TATA TIGOR EV - XM,Four Wheeler ( e-4W ),M1,162000,EXPIRED,"{""Range (Km)"": ""140"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""13.3"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""16.2"", ""Battery Density (Wh/Kg)"": ""131.6"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XT,TATA TIGOR EV - XT,Four Wheeler ( e-4W ),M1,162000,EXPIRED,"{""Range (Km)"": ""140"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""13.3"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""16.2"", ""Battery Density (Wh/Kg)"": ""131.6"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XE+,TATA TIGOR EV - XE+,Four Wheeler ( e-4W ),M1,215000,EXPIRED,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XM+,TATA TIGOR EV - XM+,Four Wheeler ( e-4W ),M1,215000,EXPIRED,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV - XT+,TATA TIGOR EV - XT+,Four Wheeler ( e-4W ),M1,215000,EXPIRED,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA NEXON EV XM,TATA NEXON EV XM,Four Wheeler ( e-4W ),M1,279800,ACTIVE,"{""Range (Km)"": ""312"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.7"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""10.6"", ""Battery Technology"": ""Lithium Iron Phosphate LiFePO4"", ""Battery Capacity (kWh)"": ""30.2"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA NEXON EV XZ+,TATA NEXON EV XZ+,Four Wheeler ( e-4W ),M1,286000,ACTIVE,"{""Range (Km)"": ""312"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.7"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""10.6"", ""Battery Technology"": ""Lithium Iron Phosphate LiFePO4"", ""Battery Capacity (kWh)"": ""28.6"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA XPRES-T EV XE+,TATA XPRES-T EV XE+,Four Wheeler ( e-4W ),M1,215000,EXPIRED,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80.7"", ""Acceleration (m/s2)"": ""1.55"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium Iron "", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA XPRES-T EV XM+,TATA XPRES-T EV XM+,Four Wheeler ( e-4W ),M1,215000,ACTIVE,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80.7"", ""Acceleration (m/s2)"": ""1.55"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium Iron "", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
